"","id","kistelepules","total","fidesz","ellenzek","is_fidesz","is_ellenzek","megyeid","megye","telepid","telep","oevk","szavazokor","ervenyes","ervenytelen","part","values"
"142","kelevíz-001",1,2,0,1,0,"van ellenzéki",15,"SOMOGY",99,"Kelevíz",3,"001",186,0.0106382978723404,"fidesz",0.558510638297872
"143","kemeneshogyész-001",1,2,1,0,1,"nincs ellenzéki",19,"VESZPRÉM",88,"Kemeneshogyész",4,"001",231,0.00431034482758621,"fidesz",0.586206896551724
"144","kemenessömjén-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",81,"Kemenessömjén",2,"001",334,0.00890207715133531,"fidesz",0.611275964391691
"145","kemenesszentmárton-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",82,"Kemenesszentmárton",2,"001",101,0.0288461538461538,"fidesz",0.721153846153846
"146","keménfa-001",1,2,1,0,1,"nincs ellenzéki",20,"ZALA",86,"Keménfa",1,"001",40,0.0476190476190476,"fidesz",0.571428571428571
"147","kenéz-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",84,"Kenéz",3,"001",140,0.0140845070422535,"fidesz",0.73943661971831
"148","kenyeri-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",85,"Kenyeri",2,"001",510,0.00970873786407767,"fidesz",0.716504854368932
"149","kercaszomor-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",86,"Kercaszomor",3,"001",133,0.00746268656716418,"fidesz",0.716417910447761
"150","kercseliget-001",1,2,0,1,0,"van ellenzéki",15,"SOMOGY",100,"Kercseliget",1,"001",166,0.0177514792899408,"fidesz",0.597633136094675
"151","keresztéte-001",1,2,1,0,1,"nincs ellenzéki",5,"BORSOD-ABAÚJ-ZEMPLÉN",160,"Keresztéte",4,"001",18,0.0526315789473684,"fidesz",0.578947368421053
"152","kerkakutas-001",1,2,1,0,1,"nincs ellenzéki",20,"ZALA",90,"Kerkakutas",1,"001",73,0.0135135135135135,"fidesz",0.756756756756757
"153","kétvölgy-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",88,"Kétvölgy",3,"001",68,0.0285714285714286,"fidesz",0.642857142857143
"154","királyegyháza-001",1,2,0,1,0,"van ellenzéki",2,"BARANYA",119,"Királyegyháza",4,"001",412,0.00961538461538462,"fidesz",0.521634615384615
"155","kisasszond-001",1,2,1,0,1,"nincs ellenzéki",15,"SOMOGY",103,"Kisasszond",2,"001",83,0.0119047619047619,"fidesz",0.547619047619048
"156","kisbárapáti-001",1,2,0,1,0,"van ellenzéki",15,"SOMOGY",105,"Kisbárapáti",4,"001",185,0.0211640211640212,"fidesz",0.619047619047619
"157","kisberzseny-001",1,2,1,0,1,"nincs ellenzéki",19,"VESZPRÉM",94,"Kisberzseny",4,"001",55,0.0178571428571429,"fidesz",0.75
"158","kisbodak-001",1,2,1,0,1,"nincs ellenzéki",8,"GYOR-MOSON-SOPRON",85,"Kisbodak",5,"001",219,0.00454545454545455,"fidesz",0.509090909090909
"159","kiscsehi-001",1,2,1,0,1,"nincs ellenzéki",20,"ZALA",96,"Kiscsehi",3,"001",115,0.0254237288135593,"fidesz",0.644067796610169
"160","kiscsosz-001",1,2,1,0,1,"nincs ellenzéki",19,"VESZPRÉM",95,"Kiscsosz",4,"001",62,0.0461538461538462,"fidesz",0.723076923076923
"161","kisdombegyház-001",1,2,1,0,1,"nincs ellenzéki",4,"BÉKÉS",36,"Kisdombegyház",4,"001",227,0.0257510729613734,"fidesz",0.665236051502146
"162","kisfalud-001",1,2,1,0,1,"nincs ellenzéki",8,"GYOR-MOSON-SOPRON",86,"Kisfalud",3,"001",484,0.00819672131147541,"fidesz",0.684426229508197
"163","kisgörbo-001",1,2,1,0,1,"nincs ellenzéki",20,"ZALA",97,"Kisgörbo",2,"001",77,0.0128205128205128,"fidesz",0.615384615384615
